GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Gradoop Common,org.gradoop.common.model.impl.properties,PropertyValueUtils,3,0,0,0,1,0,1,0,1,0
Gradoop Common,org.gradoop.common.model.impl.properties,PropertyValue,43,395,4,20,6,105,5,76,2,67
Gradoop Common,org.gradoop.common.model.impl.properties,Properties,23,250,6,16,7,59,7,28,1,23
Gradoop Common,org.gradoop.common.model.impl.properties,Property,30,144,4,12,3,35,4,18,1,13
Gradoop Common,org.gradoop.common.model.impl.properties,PropertyValueUtils.Numeric,217,726,43,153,46,152,24,90,2,11
Gradoop Common,org.gradoop.common.model.impl.properties,PropertyValueList,9,102,2,4,3,27,3,11,1,10
Gradoop Common,org.gradoop.common.model.impl.properties,PropertyValueList.PropertyValueListIterator,4,58,0,4,3,19,1,5,1,3
Gradoop Common,org.gradoop.common.model.impl.properties,DateTimeSerializer,3,229,0,2,1,39,1,8,1,7
Gradoop Common,org.gradoop.common.model.impl.properties,Type,0,214,0,0,0,23,0,4,0,4
Gradoop Common,org.gradoop.common.model.impl.properties,PropertyValueUtils.Bytes,3,42,0,0,1,8,1,3,1,3
Gradoop Common,org.gradoop.common.model.impl.properties,PropertyValueUtils.Boolean,10,25,1,5,2,7,2,4,1,2
Gradoop Common,org.gradoop.common.model.impl.properties.strategies,DateTimeStrategy,18,67,1,3,2,18,1,9,0,8
Gradoop Common,org.gradoop.common.model.impl.properties.strategies,MapStrategy,25,170,2,12,7,40,2,14,0,9
Gradoop Common,org.gradoop.common.model.impl.properties.strategies,ShortStrategy,0,58,0,2,0,15,0,9,0,8
Gradoop Common,org.gradoop.common.model.impl.properties.strategies,DateStrategy,18,67,1,3,2,18,1,9,0,8
Gradoop Common,org.gradoop.common.model.impl.properties.strategies,GradoopIdStrategy,18,67,1,3,2,18,1,9,0,8
Gradoop Common,org.gradoop.common.model.impl.properties.strategies,NullStrategy,14,26,2,2,4,8,5,6,3,6
Gradoop Common,org.gradoop.common.model.impl.properties.strategies,SetStrategy,21,167,0,12,6,41,0,14,0,8
Gradoop Common,org.gradoop.common.model.impl.properties.strategies,BooleanStrategy,20,60,3,5,2,12,3,9,0,8
Gradoop Common,org.gradoop.common.model.impl.properties.strategies,StringStrategy,18,59,1,1,2,14,1,8,0,8
Gradoop Common,org.gradoop.common.model.impl.properties.strategies,AbstractVariableSizedPropertyValueStrategy,0,95,0,8,0,21,0,8,0,4
Gradoop Common,org.gradoop.common.model.impl.properties.strategies,PropertyValueStrategyUtils,9,339,1,69,2,80,2,43,1,6
Gradoop Common,org.gradoop.common.model.impl.properties.strategies,IntegerStrategy,0,58,0,2,0,15,0,9,0,8
Gradoop Common,org.gradoop.common.model.impl.properties.strategies,LongStrategy,0,58,0,2,0,15,0,9,0,8
Gradoop Common,org.gradoop.common.model.impl.properties.strategies,TimeStrategy,18,67,1,3,2,18,1,9,0,8
Gradoop Common,org.gradoop.common.model.impl.properties.strategies,FloatStrategy,0,58,0,2,0,15,0,9,0,8
Gradoop Common,org.gradoop.common.model.impl.properties.strategies,DoubleStrategy,0,58,0,2,0,15,0,9,0,8
Gradoop Common,org.gradoop.common.model.impl.properties.strategies,BigDecimalStrategy,18,61,1,1,2,15,1,8,0,8
Gradoop Common,org.gradoop.common.model.impl.properties.strategies,ListStrategy,26,167,1,13,7,40,1,14,0,8
Gradoop Common,org.gradoop.common.model.impl.properties.strategies,AbstractFixSizedPropertyValueStrategy,0,9,0,0,0,3,0,2,0,2
Gradoop Common,org.gradoop.common.model.impl.properties.strategies,PropertyValueStrategyFactory,44,295,4,22,7,58,4,19,0,10
Gradoop Common,org.gradoop.common.util,NetworkHelper,45,12,11,1,17,5,7,1,1,1
Gradoop Common,org.gradoop.common.util,GradoopConstants,7,0,0,0,2,0,2,0,2,0
Gradoop Common,org.gradoop.common.util,Order,24,0,0,0,3,0,1,0,1,0
Gradoop Common,org.gradoop.common.util,AsciiGraphLoader,16,707,3,41,5,144,4,50,1,31
Gradoop Common,org.gradoop.common.model.impl.pojo,EdgeFactory,49,54,0,0,8,9,7,5,7,5
Gradoop Common,org.gradoop.common.model.impl.pojo,Element,73,123,10,16,16,29,13,20,6,14
Gradoop Common,org.gradoop.common.model.impl.pojo,VertexFactory,44,33,0,0,8,6,8,4,8,4
Gradoop Common,org.gradoop.common.model.impl.pojo,GraphHeadFactory,17,30,0,0,4,6,4,4,4,4
Gradoop Common,org.gradoop.common.model.impl.pojo,GraphHead,13,6,0,0,3,2,2,1,2,1
Gradoop Common,org.gradoop.common.model.impl.pojo,Edge,31,19,0,0,8,6,4,3,4,3
Gradoop Common,org.gradoop.common.model.impl.pojo,Vertex,13,7,0,0,3,2,2,1,2,1
Gradoop Common,org.gradoop.common.model.impl.pojo,GraphElement,18,46,2,4,3,14,4,7,2,6
Gradoop Common,org.gradoop.common.model.impl.id,GradoopId,101,603,17,39,29,101,24,35,9,22
Gradoop Common,org.gradoop.common.model.impl.id,GradoopIdSet,65,327,9,37,19,84,11,38,4,22
Gradoop Common,org.gradoop.common.model.impl.comparators,EPGMIdentifiableComparator,6,3,0,0,1,1,1,1,1,1
Gradoop Common,org.gradoop.common.model.impl.metadata,PropertyMetaData,9,12,0,0,3,5,3,1,3,1
Gradoop Common,org.gradoop.common.model.impl.metadata,MetaData,15,317,1,31,1,68,1,26,0,11
Gradoop Common,org.gradoop.common.config,GradoopConfig,0,31,0,0,0,9,0,5,0,5
Gradoop Common,org.gradoop.common.exceptions,UnsupportedTypeException,0,16,0,0,0,4,0,2,0,2
