GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Gradoop Flink,org.gradoop.flink.model.impl.operators.count,Count,17,56,0,0,3,13,2,3,2,3
Gradoop Flink,org.gradoop.flink.model.impl.operators.base.functions,LeftJoin0OfTuple2,0,6,0,0,0,2,0,2,0,2
Gradoop Flink,org.gradoop.flink.model.impl.operators.matching.single.preserving.explorative.traverser,SetPairBulkTraverser,12,71,0,0,2,14,1,4,1,4
Gradoop Flink,org.gradoop.flink.model.impl.operators.matching.single.preserving.explorative.traverser,SetPairTraverser,0,239,0,4,0,52,0,8,0,6
Gradoop Flink,org.gradoop.flink.model.impl.operators.matching.single.preserving.explorative.traverser,SetPairForLoopTraverser,12,100,0,6,2,15,1,7,1,4
Gradoop Flink,org.gradoop.flink.model.impl.operators.matching.single.preserving.explorative.traverser,TripleTraverser,0,47,0,0,0,9,0,3,0,3
Gradoop Flink,org.gradoop.flink.model.impl.operators.matching.single.preserving.explorative.traverser,TraverserStrategy,0,34,0,0,0,4,0,1,0,1
Gradoop Flink,org.gradoop.flink.model.impl.operators.matching.single.preserving.explorative.traverser,TripleForLoopTraverser,11,122,0,4,2,20,1,6,1,4
Gradoop Flink,org.gradoop.flink.model.impl.operators.matching.single.preserving.explorative.traverser,DistributedTraverser,0,54,0,0,0,19,0,8,0,8
Gradoop Flink,org.gradoop.flink.model.impl.operators.keyedgrouping.functions,BuildTuplesFromEdges,0,22,0,0,0,6,0,2,0,2
Gradoop Flink,org.gradoop.flink.model.impl.operators.keyedgrouping.functions,ReduceElementTuples,0,72,0,6,0,13,0,5,0,2
Gradoop Flink,org.gradoop.flink.model.impl.operators.keyedgrouping.functions,ReduceVertexTuples,5,51,1,5,1,16,1,4,0,2
Gradoop Flink,org.gradoop.flink.model.impl.operators.keyedgrouping.functions,UpdateIdField,0,14,0,0,0,5,0,2,0,2
Gradoop Flink,org.gradoop.flink.model.impl.operators.keyedgrouping.functions,BuildSuperElementFromTuple,0,90,0,8,0,18,0,6,0,2
Gradoop Flink,org.gradoop.flink.model.impl.operators.keyedgrouping.functions,BuildTuplesFromElements,23,158,2,16,2,30,2,10,0,3
Gradoop Flink,org.gradoop.flink.model.impl.operators.keyedgrouping.functions,BuildSuperEdgeFromTuple,0,46,0,0,0,10,0,3,0,3
Gradoop Flink,org.gradoop.flink.model.impl.operators.keyedgrouping.functions,GroupingConstants,3,0,0,0,1,0,1,0,1,0
Gradoop Flink,org.gradoop.flink.model.impl.operators.keyedgrouping.functions,ReduceEdgeTuples,0,36,0,4,0,13,0,5,0,3
Gradoop Flink,org.gradoop.flink.model.impl.operators.keyedgrouping.functions,BuildSuperVertexFromTuple,0,35,0,0,0,8,0,3,0,3
Gradoop Flink,org.gradoop.flink.model.impl.operators.keyedgrouping.functions,BuildTuplesFromVertices,0,17,0,0,0,5,0,2,0,2
Gradoop Flink,org.gradoop.flink.model.impl.operators.keyedgrouping.functions,FilterSuperVertices,0,17,0,0,0,4,0,2,0,2
Gradoop Flink,org.gradoop.flink.model.impl.functions.tuple,ValueOf1,0,6,0,0,0,2,0,2,0,2
Gradoop Flink,org.gradoop.flink.model.impl.functions.tuple,Value0Of4,9,0,0,0,3,0,3,0,3,0
Gradoop Flink,org.gradoop.flink.model.impl.functions.tuple,Value0Of3,3,6,0,0,1,2,1,2,1,2
Gradoop Flink,org.gradoop.flink.model.impl.functions.tuple,Project2To0,16,0,0,0,4,0,2,0,2,0
Gradoop Flink,org.gradoop.flink.model.impl.functions.tuple,Project2To1,0,16,0,0,0,4,0,2,0,2
Gradoop Flink,org.gradoop.flink.model.impl.functions.tuple,Value0Of2,3,6,0,0,1,2,1,2,1,2
Gradoop Flink,org.gradoop.flink.model.impl.functions.tuple,Project4To0And1,0,18,0,0,0,4,0,2,0,2
Gradoop Flink,org.gradoop.flink.model.impl.functions.tuple,Value2Of3,3,6,0,0,1,2,1,2,1,2
Gradoop Flink,org.gradoop.flink.model.impl.functions.tuple,SwitchPair,0,21,0,0,0,5,0,2,0,2
Gradoop Flink,org.gradoop.flink.model.impl.functions.tuple,Project3To0And1,0,18,0,0,0,4,0,2,0,2
Gradoop Flink,org.gradoop.flink.model.impl.functions.tuple,ToIdWithLabel,0,21,0,0,0,5,0,2,0,2
Gradoop Flink,org.gradoop.flink.model.impl.functions.tuple,CastTuple1IntToDouble,13,0,0,0,2,0,2,0,2,0
Gradoop Flink,org.gradoop.flink.model.impl.functions.tuple,Tuple2ToWithCount,0,23,0,0,0,5,0,2,0,2
Gradoop Flink,org.gradoop.flink.model.impl.functions.tuple,ValueOfWithCount,0,6,0,0,0,2,0,2,0,2
Gradoop Flink,org.gradoop.flink.model.impl.functions.tuple,ObjectTo1,0,15,0,0,0,4,0,2,0,2
Gradoop Flink,org.gradoop.flink.model.impl.functions.tuple,Project3To0,16,0,0,0,4,0,2,0,2,0
Gradoop Flink,org.gradoop.flink.model.impl.functions.tuple,Project4To1And2And3,20,0,0,0,4,0,2,0,2,0
Gradoop Flink,org.gradoop.flink.model.impl.functions.tuple,Value1Of2,0,9,0,0,0,3,0,3,0,3
Gradoop Flink,org.gradoop.flink.model.impl.functions.tuple,Value1Of3,9,0,0,0,3,0,3,0,3,0
Gradoop Flink,org.gradoop.flink.model.impl.operators.fusion.functions,MapFunctionAddGraphElementToGraph2,0,12,0,0,0,5,0,2,0,2
Gradoop Flink,org.gradoop.flink.model.impl.operators.fusion.functions,CreateFusedVertex,29,0,0,0,9,0,3,0,3,0
Gradoop Flink,org.gradoop.flink.model.impl.operators.fusion.functions,UpdateEdgesThoughToBeFusedVertices,61,0,8,0,16,0,7,0,3,0
Gradoop Flink,org.gradoop.flink.model.impl.operators.fusion.functions,MapGraphHeadForNewGraph,0,12,0,0,0,5,0,2,0,2
Gradoop Flink,org.gradoop.flink.model.impl.operators.fusion.functions,FlatJoinSourceEdgeReference,0,32,1,5,0,9,1,4,0,2
Gradoop Flink,org.gradoop.flink.model.impl.operators.fusion.functions,FilterSubgraphEdges,0,11,0,0,0,2,0,2,0,2
Gradoop Flink,org.gradoop.flink.model.impl.operators.fusion.functions,CoGroupGraphHeadToVertex,0,42,0,0,0,9,0,2,0,2
Gradoop Flink,org.gradoop.flink.model.impl.operators.fusion.functions,MapVerticesAsTuplesWithNullId,0,19,0,0,0,6,0,2,0,2
Gradoop Flink,org.gradoop.flink.model.impl.operators.fusion.functions,LeftElementId,0,8,0,0,0,2,0,2,0,2
Gradoop Flink,org.gradoop.flink.model.impl.operators.fusion.functions,MapVertexToPairWithGraphId,0,35,1,3,0,10,1,3,0,2
Gradoop Flink,org.gradoop.flink.model.impl.operators.fusion.functions,CoGroupAssociateOldVerticesWithNewIds,0,64,0,4,0,14,0,5,0,3
Gradoop Flink,org.gradoop.flink.model.impl.operators.matching.single.preserving.explorative.debug,PrintEmbeddingWithTiePoint,44,19,0,0,9,7,3,4,3,4
Gradoop Flink,org.gradoop.flink.model.impl.operators.matching.single.preserving.explorative.debug,PrintEdgeStep,31,9,0,0,5,3,2,2,2,2
Gradoop Flink,org.gradoop.flink.model.impl.operators.matching.single.preserving.explorative.debug,PrintVertexStep,15,9,0,0,2,3,2,2,2,2
Gradoop Flink,org.gradoop.flink.algorithms.gelly.vertexdegrees,DistinctVertexDegrees,7,67,0,0,2,14,1,2,1,2
Gradoop Flink,org.gradoop.flink.model.impl.operators.aggregation.functions.containment,HasLabel,6,30,0,0,1,7,1,3,1,3
Gradoop Flink,org.gradoop.flink.model.impl.operators.aggregation.functions.containment,HasEdgeLabel,5,12,0,0,2,2,1,1,1,1
Gradoop Flink,org.gradoop.flink.model.impl.operators.aggregation.functions.containment,HasVertexLabel,5,12,0,0,2,2,1,1,1,1
Gradoop Flink,org.gradoop.flink.model.impl.operators.aggregation.functions.bool,Or,0,4,0,0,0,1,0,1,0,1
Gradoop Flink,org.gradoop.flink.model.impl.operators.matching.single.cypher.operators.add,AddEmbeddingsElements,3,25,0,0,1,8,1,3,1,3
Gradoop Flink,org.gradoop.flink.model.impl.operators.matching.common.tuples,IdWithCandidates,0,18,0,0,0,7,0,5,0,5
Gradoop Flink,org.gradoop.flink.model.impl.operators.matching.common.tuples,TripleWithSourceEdgeCandidates,3,37,0,0,1,15,1,10,1,10
