GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.io.outputformats,ElementOutputFormat,90,0,8,0,24,0,9,0,5,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.predicate.query,AccumuloQueryHolder,126,0,10,0,27,0,12,0,7,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.predicate.query,AccumuloQueryHolder.RangeWrapper,20,0,0,0,6,0,2,0,2,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.iterator.tserver,GradoopGraphHeadIterator,129,0,16,0,28,0,13,0,4,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.iterator.tserver,GradoopVertexIterator,136,0,12,0,32,0,11,0,4,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.iterator.tserver,BaseElementIterator.InnerIterator,59,0,10,0,15,0,9,0,4,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.iterator.tserver,BaseElementIterator,102,0,16,0,19,0,18,0,10,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.iterator.tserver,GradoopEdgeIterator,152,0,14,0,39,0,13,0,4,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.constants,AccumuloTables,3,0,0,0,1,0,1,0,1,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.constants,AccumuloTables.KEY,3,0,0,0,1,0,1,0,1,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.constants,AccumuloDefault,6,0,0,0,2,0,2,0,2,0
Gradoop Accumulo,org.gradoop.storage.accumulo.utils,KryoUtils,95,0,0,0,21,0,5,0,5,0
Gradoop Accumulo,org.gradoop.storage.accumulo.utils,AccumuloFilters,32,0,0,0,6,0,6,0,6,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.iterator.client,ClientClosableIterator,84,0,8,0,25,0,8,0,4,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl,AccumuloEPGMStore,672,0,58,0,162,0,54,0,25,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.io,AccumuloDataSink,60,0,2,0,17,0,6,0,5,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.io,AccumuloBase,19,0,0,0,7,0,4,0,4,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.io,AccumuloDataSource,135,0,6,0,28,0,11,0,8,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.predicate.filter.api,AccumuloElementFilter,86,0,0,0,17,0,5,0,5,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.predicate.filter.calculate,Not,30,0,2,0,6,0,5,0,4,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.predicate.filter.calculate,Or,98,0,8,0,20,0,8,0,4,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.predicate.filter.calculate,And,98,0,8,0,20,0,8,0,4,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.predicate.filter.impl,AccumuloLabelIn,17,0,4,0,3,0,4,0,2,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.predicate.filter.impl,AccumuloPropLargerThan,38,0,8,0,9,0,6,0,2,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.predicate.filter.impl,AccumuloPropEquals,22,0,4,0,4,0,4,0,2,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.predicate.filter.impl,AccumuloLabelReg,18,0,4,0,4,0,4,0,2,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.predicate.filter.impl,AccumuloPropReg,26,0,6,0,6,0,5,0,2,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.handler,AccumuloVertexHandler,65,0,4,0,18,0,7,0,5,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.handler,AccumuloGraphHandler,47,0,2,0,13,0,5,0,4,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.handler,AccumuloEdgeHandler,83,0,4,0,24,0,7,0,5,0
Gradoop Accumulo,org.gradoop.storage.accumulo.config,GradoopAccumuloConfig,119,0,2,0,24,0,13,0,12,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.io.inputformats,BaseInputFormat,254,0,14,0,63,0,14,0,7,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.io.inputformats,VertexInputFormat,51,0,0,0,10,0,5,0,5,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.io.inputformats,GraphHeadInputFormat,51,0,0,0,10,0,5,0,5,0
Gradoop Accumulo,org.gradoop.storage.accumulo.impl.io.inputformats,EdgeInputFormat,51,0,0,0,10,0,5,0,5,0
