GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Gradoop HBase,org.gradoop.storage.hbase.impl.io,HBaseDataSource,1,189,1,5,0,34,1,10,0,8
Gradoop HBase,org.gradoop.storage.hbase.impl.io,HBaseBase,0,19,0,0,0,7,0,4,0,4
Gradoop HBase,org.gradoop.storage.hbase.impl.io,HBaseDataSink,5,121,0,2,2,33,1,8,1,7
Gradoop HBase,org.gradoop.storage.hbase.impl.handler,HBaseVertexHandler,0,86,0,2,0,22,0,7,0,6
Gradoop HBase,org.gradoop.storage.hbase.impl.handler,HBaseElementHandler,17,161,2,12,5,43,3,18,1,13
Gradoop HBase,org.gradoop.storage.hbase.impl.handler,HBaseEdgeHandler,0,137,0,2,0,30,0,12,0,11
Gradoop HBase,org.gradoop.storage.hbase.impl.handler,HBaseGraphHeadHandler,0,65,0,0,0,15,0,6,0,6
Gradoop HBase,org.gradoop.storage.hbase.impl.handler,HBaseGraphElementHandler,0,37,0,4,0,11,0,6,0,4
Gradoop HBase,org.gradoop.storage.hbase.impl.factory,HBaseEPGMStoreFactory,3,188,0,12,2,47,0,14,0,8
Gradoop HBase,org.gradoop.storage.hbase.impl.predicate.filter.impl,HBasePropReg,0,12,0,0,0,3,0,2,0,2
Gradoop HBase,org.gradoop.storage.hbase.impl.predicate.filter.impl,HBaseLabelReg,0,9,0,0,0,3,0,2,0,2
Gradoop HBase,org.gradoop.storage.hbase.impl.predicate.filter.impl,HBasePropEquals,0,12,0,0,0,3,0,2,0,2
Gradoop HBase,org.gradoop.storage.hbase.impl.predicate.filter.impl,HBaseLabelIn,0,9,0,0,0,3,0,2,0,2
Gradoop HBase,org.gradoop.storage.hbase.impl.predicate.filter.impl,HBasePropLargerThan,0,15,0,0,0,3,0,2,0,2
Gradoop HBase,org.gradoop.storage.hbase.impl.predicate.filter.calculate,Not,11,19,1,1,1,5,2,3,1,3
Gradoop HBase,org.gradoop.storage.hbase.impl.predicate.filter.calculate,And,50,57,4,2,7,14,4,4,1,4
Gradoop HBase,org.gradoop.storage.hbase.impl.predicate.filter.calculate,Or,48,59,3,3,7,14,3,5,1,4
Gradoop HBase,org.gradoop.storage.hbase.impl.predicate.filter,HBaseFilterUtils,10,319,3,27,2,80,4,20,1,8
Gradoop HBase,org.gradoop.storage.hbase.impl,HBaseEPGMStore,87,519,19,25,12,112,16,26,0,20
Gradoop HBase,org.gradoop.storage.hbase.utils,HBaseFilters,3,29,0,0,1,5,1,5,1,5
Gradoop HBase,org.gradoop.storage.hbase.utils,RowKeyDistributor,27,77,2,4,4,16,2,8,1,6
Gradoop HBase,org.gradoop.storage.hbase.utils,RegionSplitter,5,69,1,9,1,20,1,11,0,7
Gradoop HBase,org.gradoop.storage.hbase.config,GradoopHBaseConfig,3,158,3,3,0,36,3,12,0,12
Gradoop HBase,org.gradoop.storage.hbase.impl.constants,HBaseConstants,3,0,0,0,1,0,1,0,1,0
Gradoop HBase,org.gradoop.storage.hbase.impl.io.inputformats,BaseTableInputFormat,0,40,1,7,0,9,1,5,0,2
Gradoop HBase,org.gradoop.storage.hbase.impl.io.inputformats,EdgeTableInputFormat,0,43,0,2,0,11,0,5,0,4
Gradoop HBase,org.gradoop.storage.hbase.impl.io.inputformats,VertexTableInputFormat,0,43,0,2,0,11,0,5,0,4
Gradoop HBase,org.gradoop.storage.hbase.impl.io.inputformats,GraphHeadTableInputFormat,0,43,0,2,0,11,0,5,0,4
Gradoop HBase,org.gradoop.storage.hbase.impl.iterator,HBaseGraphIterator,0,37,0,2,0,12,0,5,0,4
Gradoop HBase,org.gradoop.storage.hbase.impl.iterator,HBaseVertexIterator,0,37,0,2,0,12,0,5,0,4
Gradoop HBase,org.gradoop.storage.hbase.impl.iterator,HBaseEdgeIterator,0,37,0,2,0,12,0,5,0,4
Gradoop HBase,org.gradoop.storage.hbase.impl.io.functions,BuildVertexMutation,0,44,0,0,0,12,0,3,0,3
Gradoop HBase,org.gradoop.storage.hbase.impl.io.functions,BuildGraphHeadMutation,0,44,0,0,0,12,0,3,0,3
Gradoop HBase,org.gradoop.storage.hbase.impl.io.functions,BuildEdgeMutation,0,44,0,0,0,12,0,3,0,3
Gradoop HBase,org.gradoop.storage.hbase.impl.predicate.filter.api,HBaseElementFilter,0,27,0,0,0,3,0,3,0,3
