GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.query.postprocessing,CNFPostProcessing,3,84,0,2,1,9,1,4,1,3
Gradoop Temporal,org.gradoop.temporal.model.impl.pojo,TemporalVertexFactory,13,93,0,0,2,17,2,12,2,12
Gradoop Temporal,org.gradoop.temporal.model.impl.pojo,TemporalVertex,0,12,0,0,0,4,0,2,0,2
Gradoop Temporal,org.gradoop.temporal.model.impl.pojo,TemporalGraphHeadFactory,21,50,0,0,4,10,2,8,2,8
Gradoop Temporal,org.gradoop.temporal.model.impl.pojo,TemporalGraphElement,1,65,2,4,0,17,2,9,0,8
Gradoop Temporal,org.gradoop.temporal.model.impl.pojo,TemporalEdgeFactory,17,110,0,0,2,17,2,12,2,12
Gradoop Temporal,org.gradoop.temporal.model.impl.pojo,TemporalElement.new Object() {...},2,17,0,0,0,1,0,1,0,1
Gradoop Temporal,org.gradoop.temporal.model.impl.pojo,TemporalGraphHead,0,11,0,0,0,4,0,2,0,2
Gradoop Temporal,org.gradoop.temporal.model.impl.pojo,TemporalEdge,0,32,0,0,0,12,0,6,0,6
Gradoop Temporal,org.gradoop.temporal.model.impl.pojo,TemporalElement,14,227,2,15,1,48,2,24,0,17
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.statistics.binning,BinningTemporalGraphStatistics,119,2291,33,295,20,452,31,166,0,33
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.statistics.binning,BinningTemporalGraphStatisticsFactory,7,84,1,3,1,20,2,6,1,5
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.single.cypher.functions,ElementsFromEmbeddingTPGM,83,375,9,21,16,75,6,16,0,7
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.query.predicates,ComparableTPGMFactory,20,99,1,17,5,24,3,11,2,3
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.query.predicates,QueryComparableTPGM,23,3,2,0,6,1,5,1,4,1
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.single.cypher.planning.plantable,TemporalPlanTableEntry,0,74,0,2,0,15,0,9,0,8
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.statistics,TemporalGraphStatistics,0,3,0,0,0,1,0,1,0,1
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.statistics,TemporalGraphStatistics.ElementType,0,24,0,0,0,1,0,1,0,1
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.keyedgrouping,TemporalGroupingKeys,0,23,0,0,0,4,0,4,0,4
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.tostring.functions,TemporalElementToDataString,0,44,0,4,0,12,0,4,0,2
Gradoop Temporal,org.gradoop.temporal.model.impl.functions.predicates,ContainedIn,11,40,0,4,4,6,1,5,1,3
Gradoop Temporal,org.gradoop.temporal.model.impl.functions.predicates,Precedes,11,40,1,3,4,6,2,4,1,3
Gradoop Temporal,org.gradoop.temporal.model.impl.functions.predicates,AsOf,7,30,0,4,3,5,1,5,1,3
Gradoop Temporal,org.gradoop.temporal.model.impl.functions.predicates,CreatedIn,11,40,0,4,4,6,1,5,1,3
Gradoop Temporal,org.gradoop.temporal.model.impl.functions.predicates,FromTo,11,38,0,4,4,6,1,5,1,3
Gradoop Temporal,org.gradoop.temporal.model.impl.functions.predicates,Overlaps,12,39,1,1,4,6,2,3,1,3
Gradoop Temporal,org.gradoop.temporal.model.impl.functions.predicates,ValidDuring,11,40,0,4,4,6,1,5,1,3
Gradoop Temporal,org.gradoop.temporal.model.impl.functions.predicates,DeletedIn,11,40,0,4,4,6,1,5,1,3
Gradoop Temporal,org.gradoop.temporal.model.impl.functions.predicates,Succeeds,11,40,0,4,4,6,1,5,1,3
Gradoop Temporal,org.gradoop.temporal.model.impl.functions.predicates,Between,11,38,0,4,4,6,1,5,1,3
Gradoop Temporal,org.gradoop.temporal.model.impl.functions.predicates,All,0,7,0,0,0,3,0,3,0,3
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.query,TemporalQueryHandler,3,235,1,11,1,42,2,14,1,9
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.statistics.binning.pojo,ReservoirSampler,10,105,3,9,3,26,3,10,1,6
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.statistics.binning.pojo,Binning,18,85,1,5,6,17,4,5,3,3
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.statistics.binning.pojo,TemporalElementStats,21,1115,11,75,7,221,12,57,1,25
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.common.query.predicates.util,ComparisonUtil,3,12,1,3,1,2,2,2,1,1
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.aggregation.functions,AbstractDurationAggregateFunction,15,131,5,12,1,22,5,7,0,3
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.aggregation.functions,MinDuration,17,73,0,8,2,16,1,8,1,4
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.aggregation.functions,AverageDuration,39,87,3,7,3,16,4,8,1,6
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.aggregation.functions,MinVertexTime,0,6,0,0,0,2,0,1,0,1
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.aggregation.functions,MaxVertexTime,0,6,0,0,0,2,0,1,0,1
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.aggregation.functions,MaxEdgeTime,0,6,0,0,0,2,0,1,0,1
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.aggregation.functions,MinVertexDuration,0,5,0,0,0,2,0,1,0,1
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.aggregation.functions,AbstractTimeAggregateFunction,53,96,4,18,4,20,5,12,1,4
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.aggregation.functions,MinEdgeDuration,0,5,0,0,0,2,0,1,0,1
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.aggregation.functions,AbstractDurationAggregateFunction.new Object() {...},2,17,0,0,0,1,0,1,0,1
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.aggregation.functions,MinEdgeTime,0,6,0,0,0,2,0,1,0,1
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.aggregation.functions,MaxEdgeDuration,0,5,0,0,0,2,0,1,0,1
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.aggregation.functions,AverageVertexDuration,0,5,0,0,0,2,0,1,0,1
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.aggregation.functions,MaxTime,0,12,0,0,0,3,0,2,0,2
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.aggregation.functions,MaxDuration,17,73,0,8,2,16,1,8,1,4
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.aggregation.functions,AbstractTimeAggregateFunction.new Object() {...},4,33,0,0,0,2,0,1,0,1
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.aggregation.functions,MinTime,0,12,0,0,0,3,0,2,0,2
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.aggregation.functions,MaxVertexDuration,0,5,0,0,0,2,0,1,0,1
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.aggregation.functions,AverageEdgeDuration,0,5,0,0,0,2,0,1,0,1
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.diff,Diff,6,69,0,0,2,13,1,3,1,3
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.single.cypher.pojos,EmbeddingTPGMFactory,16,176,2,24,3,30,3,15,1,4
Gradoop Temporal,org.gradoop.temporal.model.impl.operators.matching.single.cypher.planning.queryplan.leaf,FilterAndProjectTemporalEdgesNode,9,130,1,5,2,23,3,8,2,6
